date,first_name,last_name,hourly_rate,start_time,end_time,hours_in_shift,staff_cost
10/8/2022,Mindy,Sloan,17.25,10:30:00,14:30:00,4.0,69.0
10/8/2022,Luqman,Cantu,21.5,10:30:00,14:30:00,4.0,86.0
10/8/2022,Lilly-Rose,Vaughn,14.5,10:30:00,14:30:00,4.0,58.0
10/8/2022,Desiree,Gardner,14.5,10:30:00,14:30:00,4.0,58.0
10/8/2022,Mindy,Sloan,17.25,18:30:00,23:00:00,4.5,77.625
10/8/2022,Luqman,Cantu,21.5,18:30:00,23:00:00,4.5,96.75
10/8/2022,Lilly-Rose,Vaughn,14.5,18:30:00,23:00:00,4.5,65.25
10/8/2022,Desiree,Gardner,14.5,18:30:00,23:00:00,4.5,65.25
11/8/2022,Mindy,Sloan,17.25,10:30:00,14:30:00,4.0,69.0
11/8/2022,Luqman,Cantu,21.5,10:30:00,14:30:00,4.0,86.0
11/8/2022,Lilly-Rose,Vaughn,14.5,10:30:00,14:30:00,4.0,58.0
11/8/2022,Desiree,Gardner,14.5,10:30:00,14:30:00,4.0,58.0
11/8/2022,Mindy,Sloan,17.25,18:30:00,23:00:00,4.5,77.625
11/8/2022,Luqman,Cantu,21.5,18:30:00,23:00:00,4.5,96.75
11/8/2022,Lilly-Rose,Vaughn,14.5,18:30:00,23:00:00,4.5,65.25
11/8/2022,Desiree,Gardner,14.5,18:30:00,23:00:00,4.5,65.25
12/8/2022,Mindy,Sloan,17.25,10:30:00,14:30:00,4.0,69.0
12/8/2022,Luqman,Cantu,21.5,10:30:00,14:30:00,4.0,86.0
12/8/2022,Lilly-Rose,Vaughn,14.5,10:30:00,14:30:00,4.0,58.0
12/8/2022,Desiree,Gardner,14.5,10:30:00,14:30:00,4.0,58.0
12/8/2022,Mindy,Sloan,17.25,18:30:00,23:00:00,4.5,77.625
12/8/2022,Luqman,Cantu,21.5,18:30:00,23:00:00,4.5,96.75
12/8/2022,Lilly-Rose,Vaughn,14.5,18:30:00,23:00:00,4.5,65.25
12/8/2022,Desiree,Gardner,14.5,18:30:00,23:00:00,4.5,65.25
13/8/2022,Seren,Lindsey,17.25,10:30:00,14:30:00,4.0,69.0
13/8/2022,Arran,Hodgson,21.5,10:30:00,14:30:00,4.0,86.0
13/8/2022,Ivan,English,14.5,10:30:00,14:30:00,4.0,58.0
13/8/2022,Johnathon,Bradford,14.5,10:30:00,14:30:00,4.0,58.0
13/8/2022,Seren,Lindsey,17.25,18:30:00,23:00:00,4.5,77.625
13/8/2022,Arran,Hodgson,21.5,18:30:00,23:00:00,4.5,96.75
13/8/2022,Ivan,English,14.5,18:30:00,23:00:00,4.5,65.25
13/8/2022,Johnathon,Bradford,14.5,18:30:00,23:00:00,4.5,65.25
14/8/2022,Seren,Lindsey,17.25,10:30:00,14:30:00,4.0,69.0
14/8/2022,Arran,Hodgson,21.5,10:30:00,14:30:00,4.0,86.0
14/8/2022,Ivan,English,14.5,10:30:00,14:30:00,4.0,58.0
14/8/2022,Johnathon,Bradford,14.5,10:30:00,14:30:00,4.0,58.0
14/8/2022,Seren,Lindsey,17.25,18:30:00,23:00:00,4.5,77.625
14/8/2022,Arran,Hodgson,21.5,18:30:00,23:00:00,4.5,96.75
14/8/2022,Ivan,English,14.5,18:30:00,23:00:00,4.5,65.25
14/8/2022,Johnathon,Bradford,14.5,18:30:00,23:00:00,4.5,65.25
